"entity_id:ID","entity_key","canonical_name","aliases",":LABEL"
"0000b517-76f2-57cf-8e77-18fb96559100","chain_node:v2_b8de371727c4291a79d664c44a544f9ec632203b","钴盐","","ChainNode"
"000949ac-b541-5d8e-85a1-75f8c2da2954","industry_chain:medical_devices_and_equipment","医疗设备产业链","医疗器械设备产业链","IndustryChain"
"0009eded-3837-532a-9e71-5cc202c0a490","chain_node:v2_470aeec60aa168d495f4140d016345a2933a30b4","供应商寻源与询比价服务","","ChainNode"
"00181650-ddac-591e-9cdc-7989132eb797","chain_node:v1_3dbfb273d81f6634fe543b05bee5616c88bd871c","胶黏剂及胶带","","ChainNode"
"00236f3a-fd2e-596a-9739-0a87703a3a31","chain_node:v2_589ad05a432f5b7a4adb3d9cb18639c3d9161461","人才数据库服务","","ChainNode"
"0047322c-dcaa-5505-943a-bf21b0dd40b9","chain_node:v2_7fb246f4c23208b272a4c58d104094dddf38d637","石灰石","","ChainNode"
"005bb987-7971-5e37-9eb7-9aae7e9a8cdb","chain_node:v2_2f1085a906178b1b05e3e9d63a3dd1849072108a","预加工食品加工服务","","ChainNode"
"0064ba97-3a82-5fe5-8619-e0300c79e03e","chain_node:v1_32afbdc2837017da5c25e9e4062cc867f61f439a","PEEK材料","PEEK材料概念","ChainNode"
"0068a811-9bd0-5c07-8ff7-c5444a34b14c","chain_node:v1_7d4d32b83367e129f8055f4f78efc164646a4ec0","房屋建设","房屋建设Ⅱ|房屋建设Ⅲ","ChainNode"
"006a5acd-a586-535b-add7-ed3013bd7640","industry:sw:workbook_snapshot_v1:720900","出版","","Industry"
"007d5615-e7f5-5a58-9d97-c8538c0592e0","industry_chain:new_energy_vehicles","新能源汽车产业链","电动乘用车产业链","IndustryChain"
"00823654-88a9-5ddc-b2e1-cbebfc9e85ba","chain_node:v1_7a66f1cb23fe3de554d7b975f02fbe4ce181c4ba","商用载货车","","ChainNode"
"00a83b14-082a-5e7d-b62f-462e9942c89a","industry_chain:telecommunications_terminals_and_accessories","通信终端及配件产业链","","IndustryChain"
"00c9a31b-b5bd-5fda-9d4c-22923cc53140","chain_node:v1_10d95da300067a992ab5859861080eccf5d3d5fd","家用洗衣机","","ChainNode"
